lat,lon,ppt
7.492328,-74.868139,0.0
5.855444,-75.826167,0.0
6.059778,-75.792333,0.0
5.596583,-75.813861,0.0
5.655417,-75.882556,0.0
5.790806,-75.842722,0.254
6.5375,-75.089356,0.0
7.109611,-75.553583,0.0
5.663675,-75.718194,0.0
6.049303,-75.906461,0.0
6.907583,-75.672306,0.0
5.800361,-75.924194,0.0
6.400195,-74.747727,0.0
6.495086,-75.910008,0.0
8.096536,-74.774978,0.0
6.187606,-74.61628,0.0
5.849889,-76.022917,0.0
6.882222,-75.340056,0.0
7.989083,-75.197442,0.0
7.076972,-75.142278,0.0
7.580683,-75.400611,0.254
5.700583,-75.966472,0.0
5.874694,-75.568361,0.0
6.968,-75.415361,0.0
7.140361,-75.460611,0.0
6.416961,-75.997911,0.0
5.551106,-75.644006,0.0
5.611086,-75.629453,0.0
6.567922,-75.520964,0.254
6.303581,-75.857964,0.0
6.112794,-75.990589,0.0
6.378344,-75.439234,0.0
6.852722,-75.820472,0.0
7.011506,-75.691389,0.0
6.167361,-75.579911,0.0
6.978667,-75.301639,0.0
6.479014,-75.638442,0.0
6.717892,-75.909778,0.0
6.630556,-75.816139,0.0
7.03587,-73.946381,0.0
7.592075,-74.791447,0.0
5.9275,-75.672231,0.0
6.605789,-75.667314,0.254
6.816658,-75.239819,1.016
5.792769,-75.789567,0.0
6.498961,-74.448554,0.0
7.080978,-74.700575,0.0
6.676806,-75.748583,0.0
6.771556,-74.798389,0.0
6.513111,-75.709361,0.0
5.741083,-75.607,0.0
6.352167,-75.507278,0.0
7.166361,-75.766111,0.0
6.553639,-74.7875,0.762
6.689847,-74.831631,0.0
6.913778,-75.079806,0.254
6.121978,-75.711787,0.0
6.152472,-75.600139,0.0
6.027778,-75.705389,0.0
6.137972,-75.63975,0.254
6.848639,-75.68825,0.0
6.343237,-75.561611,0.0
6.091889,-75.634694,0.254
6.723903,-75.294114,0.0
5.945167,-75.525861,0.0
6.1955139,-75.619011,0.0
6.669083,-75.216611,0.508
6.599389,-75.013861,0.0
6.165095,-75.494832,0.0
6.4685,-75.3814722,0.0
6.5361944,-75.7020278,0.0
7.7651389,-75.2639722,0.0
7.7636944,-74.7205278,0.0
6.326944,-75.768889,0.0
5.6199167,-75.9431389,0.0
5.7695833,-75.7368889,0.254
6.2500381,-75.5830642,0.0
5.9113333,-75.6594167,0.0
6.8422778,-75.2176667,0.254
7.0639444,-75.6859722,0.0
5.5945556,-75.8404722,0.0
